num_hes,num_nodes,egonet density
27,43,0.627907
224,298,0.751678
1,3,0.333333
39,58,0.672414
8,13,0.615385
8,17,0.470588
49,58,0.844828
2,3,0.666667
5,8,0.625000
1,2,0.500000
23,34,0.676471
2,4,0.500000
2,3,0.666667
3,5,0.600000
2,4,0.500000
7,11,0.636364
1021,992,1.029234
12,18,0.666667
138,165,0.836364
1249,859,1.454016
1408,968,1.454545
1,2,0.500000
35,57,0.614035
3,4,0.750000
7,13,0.538462
5,7,0.714286
389,442,0.880090
5,11,0.454545
3,9,0.333333
5,11,0.454545
7,15,0.466667
7,18,0.388889
2,8,0.250000
4,12,0.333333
1016,1042,0.975048
290,278,1.043165
2584,1555,1.661736
7,15,0.466667
22,33,0.666667
43,55,0.781818
19,25,0.760000
23,37,0.621622
577,500,1.154000
2,3,0.666667
3,4,0.750000
1,2,0.500000
15,22,0.681818
5,9,0.555556
1555,1409,1.103620
11,13,0.846154
16,20,0.800000
408,422,0.966825
1,3,0.333333
31,40,0.775000
3,9,0.333333
2,5,0.400000
99,141,0.702128
4,6,0.666667
13,21,0.619048
27,37,0.729730
53,61,0.868852
14,17,0.823529
1,2,0.500000
2,3,0.666667
1602,1526,1.049803
8,10,0.800000
14,21,0.666667
305,346,0.881503
2,3,0.666667
1,3,0.333333
1382,991,1.394551
14,19,0.736842
2,3,0.666667
26,37,0.702703
25,33,0.757576
15,21,0.714286
3,4,0.750000
26,37,0.702703
64,81,0.790123
21,34,0.617647
1,3,0.333333
1,3,0.333333
2,4,0.500000
7,15,0.466667
2,3,0.666667
1096,1033,1.060987
477,514,0.928016
62,91,0.681319
387,351,1.102564
443,367,1.207084
5,7,0.714286
6,9,0.666667
4,7,0.571429
162,200,0.810000
41,47,0.872340
3,5,0.600000
17,27,0.629630
3,9,0.333333
3,5,0.600000
25,34,0.735294
62,78,0.794872
28,44,0.636364
3,4,0.750000
78,111,0.702703
35,52,0.673077
2,3,0.666667
1,3,0.333333
6,10,0.600000
26,38,0.684211
92,96,0.958333
2,4,0.500000
2,3,0.666667
2,3,0.666667
1,2,0.500000
2,3,0.666667
1,2,0.500000
4,7,0.571429
232,209,1.110048
19,31,0.612903
9,18,0.500000
5,8,0.625000
23,31,0.741935
3,4,0.750000
18,31,0.580645
1,2,0.500000
49,61,0.803279
39,64,0.609375
10,18,0.555556
1,3,0.333333
79,86,0.918605
732,621,1.178744
32,47,0.680851
12,17,0.705882
64,83,0.771084
58,85,0.682353
25,39,0.641026
2,3,0.666667
5,8,0.625000
83,107,0.775701
12,18,0.666667
60,65,0.923077
81,101,0.801980
7,11,0.636364
17,24,0.708333
4,6,0.666667
2286,1913,1.194982
5,7,0.714286
69,77,0.896104
6,11,0.545455
1,5,0.200000
4,8,0.500000
133,174,0.764368
87,128,0.679688
1,3,0.333333
18,25,0.720000
228,243,0.938272
27,35,0.771429
186,234,0.794872
1020,734,1.389646
1,3,0.333333
1,2,0.500000
23,36,0.638889
22,38,0.578947
3,4,0.750000
23,33,0.696970
54,67,0.805970
4,9,0.444444
73,98,0.744898
43,51,0.843137
4,7,0.571429
22,40,0.550000
1,2,0.500000
33,45,0.733333
3,5,0.600000
3,4,0.750000
7,12,0.583333
539,561,0.960784
1,2,0.500000
3,5,0.600000
16,26,0.615385
1112,813,1.367774
65,77,0.844156
1023,785,1.303185
493,388,1.270619
24,32,0.750000
5,9,0.555556
1,2,0.500000
2,4,0.500000
115,106,1.084906
38,47,0.808511
7,10,0.700000
2,4,0.500000
2814,2311,1.217655
3484,2705,1.287985
9,10,0.900000
111,131,0.847328
424,429,0.988345
408,499,0.817635
2,3,0.666667
1,2,0.500000
35,53,0.660377
29,49,0.591837
2,3,0.666667
1,3,0.333333
11,15,0.733333
63,77,0.818182
3,5,0.600000
1,2,0.500000
14,22,0.636364
1,2,0.500000
57,78,0.730769
31,43,0.720930
4,5,0.800000
147,187,0.786096
1,2,0.500000
2,4,0.500000
3,5,0.600000
3,5,0.600000
2,4,0.500000
3,5,0.600000
2,3,0.666667
47,68,0.691176
6,10,0.600000
1,2,0.500000
147,173,0.849711
8,12,0.666667
5,8,0.625000
203,238,0.852941
566,618,0.915858
23,35,0.657143
4,6,0.666667
6,12,0.500000
16,23,0.695652
58,73,0.794521
55,75,0.733333
3,6,0.500000
5,7,0.714286
123,140,0.878571
23,35,0.657143
2,3,0.666667
1,2,0.500000
111,149,0.744966
34,59,0.576271
2,5,0.400000
689,710,0.970423
40,56,0.714286
1,4,0.250000
10,21,0.476190
176,195,0.902564
14,20,0.700000
69,98,0.704082
38,55,0.690909
20,31,0.645161
2,3,0.666667
737,760,0.969737
1,2,0.500000
16,24,0.666667
280,313,0.894569
6,10,0.600000
5,11,0.454545
