sum_hyperedge_size,num_nodes,egonet overlapness
70,42,1.666667
759,339,2.238938
119,72,1.652778
2,2,1.000000
2,2,1.000000
12755,3598,3.545025
305,149,2.046980
2,2,1.000000
2,2,1.000000
315,159,1.981132
1651,691,2.389291
107,61,1.754098
3513,1262,2.783677
4,3,1.333333
2,2,1.000000
19,13,1.461538
30,18,1.666667
22,13,1.692308
8,5,1.600000
17,12,1.416667
29,19,1.526316
4,3,1.333333
4,3,1.333333
2,2,1.000000
2,2,1.000000
605,262,2.309160
30,16,1.875000
41,28,1.464286
7,7,1.000000
7,7,1.000000
25,15,1.666667
11,9,1.222222
10,8,1.250000
183,85,2.152941
2,2,1.000000
25,16,1.562500
131,71,1.845070
28,16,1.750000
258,109,2.366972
2,2,1.000000
65,37,1.756757
2,2,1.000000
15,10,1.500000
102,50,2.040000
12988,3715,3.496097
18,10,1.800000
288,142,2.028169
1305,529,2.466919
2,2,1.000000
16,11,1.454545
12,7,1.714286
2326,954,2.438155
84,44,1.909091
16,11,1.454545
20,13,1.538462
234,111,2.108108
3,3,1.000000
3,3,1.000000
1001,431,2.322506
144,77,1.870130
57,33,1.727273
147,83,1.771084
102,57,1.789474
8296,2619,3.167621
754,340,2.217647
3796,1469,2.584071
2,2,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
142,73,1.945205
237,127,1.866142
5158,1762,2.927355
6,4,1.500000
6,4,1.500000
4,3,1.333333
33,19,1.736842
105,61,1.721311
7,5,1.400000
344,182,1.890110
50,28,1.785714
136,72,1.888889
3,3,1.000000
16,10,1.600000
42,25,1.680000
567,279,2.032258
67,40,1.675000
18,10,1.800000
15,10,1.500000
150,76,1.973684
2,2,1.000000
20,11,1.818182
29,17,1.705882
79,40,1.975000
20,12,1.666667
5,4,1.250000
3861,1403,2.751960
13,9,1.444444
31,20,1.550000
2,2,1.000000
2,2,1.000000
139,77,1.805195
5,4,1.250000
58,33,1.757576
1224,522,2.344828
5,4,1.250000
3,3,1.000000
3,3,1.000000
1481,614,2.412052
400,189,2.116402
9070,2808,3.230057
72,37,1.945946
887,386,2.297927
3814,1368,2.788012
875,402,2.176617
707,326,2.168712
6,5,1.200000
202,103,1.961165
20,12,1.666667
7,5,1.400000
5,4,1.250000
3,3,1.000000
27,18,1.500000
303,145,2.089655
33,20,1.650000
23,14,1.642857
558,256,2.179688
27,18,1.500000
85,48,1.770833
35,21,1.666667
35,23,1.521739
19150,4835,3.960703
51,29,1.758621
2,2,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
11,8,1.375000
10,8,1.250000
103,54,1.907407
2,2,1.000000
4230,1568,2.697704
97,56,1.732143
154,73,2.109589
2,2,1.000000
32,18,1.777778
139,71,1.957746
1008,461,2.186551
570,256,2.226562
613,289,2.121107
26,17,1.529412
18,11,1.636364
49,30,1.633333
2,2,1.000000
2,2,1.000000
3,3,1.000000
3,3,1.000000
3,3,1.000000
11,7,1.571429
7,5,1.400000
6,4,1.500000
2,2,1.000000
6,5,1.200000
4,4,1.000000
4,4,1.000000
55,30,1.833333
10,7,1.428571
18,11,1.636364
22,15,1.466667
18,10,1.800000
15289,4233,3.611859
2,2,1.000000
29,19,1.526316
5,4,1.250000
2,2,1.000000
9,6,1.500000
86,47,1.829787
472,217,2.175115
18,10,1.800000
4,3,1.333333
388,195,1.989744
149,77,1.935065
671,311,2.157556
13,8,1.625000
4404,1533,2.872798
24,15,1.600000
486,226,2.150442
2,2,1.000000
10,7,1.428571
2207,861,2.563298
47,26,1.807692
160,83,1.927711
21,13,1.615385
63,39,1.615385
23,15,1.533333
17,10,1.700000
12,8,1.500000
87,50,1.740000
248,132,1.878788
2,2,1.000000
371,180,2.061111
4996,1709,2.923347
12,8,1.500000
224,116,1.931034
31,19,1.631579
28,16,1.750000
21,13,1.615385
23,13,1.769231
130,73,1.780822
6931,2255,3.073614
29,17,1.705882
2,2,1.000000
2,2,1.000000
225,120,1.875000
400,188,2.127660
18,12,1.500000
150,80,1.875000
12,7,1.714286
55,33,1.666667
79,49,1.612245
71,41,1.731707
2,2,1.000000
2,2,1.000000
29,22,1.318182
42,24,1.750000
96,50,1.920000
2311,915,2.525683
18,12,1.500000
36,22,1.636364
191,96,1.989583
1093,467,2.340471
45,26,1.730769
21,14,1.500000
9,6,1.500000
19,12,1.583333
175,84,2.083333
2,2,1.000000
170,92,1.847826
334,177,1.887006
81,45,1.800000
176,91,1.934066
26,18,1.444444
2,2,1.000000
143,75,1.906667
21,13,1.615385
271,146,1.856164
2,2,1.000000
120,66,1.818182
6,4,1.500000
108,55,1.963636
3,3,1.000000
5,4,1.250000
213,109,1.954128
245,123,1.991870
25,16,1.562500
2,2,1.000000
2,2,1.000000
4,3,1.333333
2,2,1.000000
71,37,1.918919
4,3,1.333333
2,2,1.000000
44,29,1.517241
18,13,1.384615
15,10,1.500000
23,15,1.533333
5,4,1.250000
3,3,1.000000
20,14,1.428571
2,2,1.000000
249,106,2.349057
470,180,2.611111
12,8,1.500000
124,68,1.823529
101,60,1.683333
913,406,2.248768
45,28,1.607143
59,33,1.787879
8,6,1.333333
126,68,1.852941
8,6,1.333333
33,20,1.650000
131,73,1.794521
148,81,1.827160
