sum_hyperedge_size,num_nodes,egonet overlapness
6,5,1.200000
354,175,2.022857
218,125,1.744000
16,11,1.454545
40,26,1.538462
347,179,1.938547
7,6,1.166667
15,11,1.363636
5,5,1.000000
34,22,1.545455
71,42,1.690476
78,50,1.560000
3,3,1.000000
38,25,1.520000
3,3,1.000000
22,13,1.692308
21,15,1.400000
7,5,1.400000
3,3,1.000000
11,8,1.375000
8,6,1.333333
23,15,1.533333
4,4,1.000000
45,30,1.500000
32,23,1.391304
132,79,1.670886
12,9,1.333333
456,254,1.795276
14,8,1.750000
3,3,1.000000
24,15,1.600000
11,8,1.375000
42,26,1.615385
6,5,1.200000
35,22,1.590909
21,17,1.235294
49,30,1.633333
148,84,1.761905
3,3,1.000000
4,3,1.333333
1273,659,1.931715
4,4,1.000000
3,3,1.000000
225,140,1.607143
13,9,1.444444
4,4,1.000000
6,5,1.200000
7,5,1.400000
6,5,1.200000
13,10,1.300000
3,3,1.000000
59,34,1.735294
4,4,1.000000
128,84,1.523810
10,8,1.250000
8,6,1.333333
36,24,1.500000
6,5,1.200000
6,4,1.500000
7,5,1.400000
78,48,1.625000
10,6,1.666667
80,52,1.538462
13,10,1.300000
2,2,1.000000
23,13,1.769231
4,3,1.333333
48,30,1.600000
3,3,1.000000
21,14,1.500000
9,7,1.285714
7,5,1.400000
383,187,2.048128
14,9,1.555556
8,6,1.333333
81,45,1.800000
9,7,1.285714
6,5,1.200000
8,5,1.600000
13,9,1.444444
7,5,1.400000
3,3,1.000000
676,388,1.742268
82,47,1.744681
9,7,1.285714
21,14,1.500000
25,17,1.470588
3,3,1.000000
14,10,1.400000
127,74,1.716216
19,14,1.357143
3,3,1.000000
16,11,1.454545
15,10,1.500000
7,5,1.400000
4,4,1.000000
171,95,1.800000
19,13,1.461538
44,30,1.466667
4,4,1.000000
4,4,1.000000
2,2,1.000000
23,15,1.533333
343,215,1.595349
11,7,1.571429
4551,2145,2.121678
6,5,1.200000
69,45,1.533333
40,27,1.481481
4,4,1.000000
4,3,1.333333
40,23,1.739130
4,4,1.000000
4,4,1.000000
29,23,1.260870
9,9,1.000000
14,12,1.166667
43,32,1.343750
12,11,1.090909
13,12,1.083333
12,11,1.090909
18,15,1.200000
2,2,1.000000
134,82,1.634146
3,3,1.000000
5,4,1.250000
5,4,1.250000
61,37,1.648649
8,6,1.333333
156,86,1.813953
10,6,1.666667
32,20,1.600000
12,9,1.333333
4,4,1.000000
80,49,1.632653
44,29,1.517241
137,78,1.756410
11,8,1.375000
5,4,1.250000
70,39,1.794872
4,4,1.000000
427,222,1.923423
2,2,1.000000
2,2,1.000000
9,7,1.285714
2,2,1.000000
15,11,1.363636
2,2,1.000000
3,3,1.000000
63,37,1.702703
17,13,1.307692
14,11,1.272727
21,14,1.500000
30,20,1.500000
30,19,1.578947
76,46,1.652174
5,4,1.250000
5,4,1.250000
2,2,1.000000
6,5,1.200000
351,180,1.950000
19,13,1.461538
2,2,1.000000
4,4,1.000000
12,10,1.200000
4,4,1.000000
4,4,1.000000
15,11,1.363636
48,32,1.500000
13,9,1.444444
98,63,1.555556
27,19,1.421053
270,155,1.741935
4,4,1.000000
6,5,1.200000
3,3,1.000000
55,39,1.410256
11,8,1.375000
4,4,1.000000
3,3,1.000000
3,3,1.000000
59,38,1.552632
4,3,1.333333
46,31,1.483871
4,4,1.000000
6,5,1.200000
4,3,1.333333
5,4,1.250000
9,7,1.285714
2,2,1.000000
3,3,1.000000
2,2,1.000000
8,6,1.333333
3,3,1.000000
11,9,1.222222
3,3,1.000000
16,11,1.454545
3,3,1.000000
21,14,1.500000
190,112,1.696429
4,4,1.000000
4,4,1.000000
6,5,1.200000
3,3,1.000000
3,3,1.000000
684,393,1.740458
15,11,1.363636
25,19,1.315789
11,9,1.222222
112,69,1.623188
2,2,1.000000
8,5,1.600000
42,27,1.555556
34,24,1.416667
4,3,1.333333
3,3,1.000000
5,4,1.250000
348,187,1.860963
95,59,1.610169
162,94,1.723404
14,9,1.555556
77,47,1.638298
7,5,1.400000
3,3,1.000000
13,9,1.444444
2,2,1.000000
2,2,1.000000
3,3,1.000000
3,3,1.000000
4,3,1.333333
3,3,1.000000
5,4,1.250000
15,11,1.363636
9,7,1.285714
231,140,1.650000
37,24,1.541667
7,5,1.400000
4,4,1.000000
4,4,1.000000
4,3,1.333333
6,5,1.200000
4,4,1.000000
3,3,1.000000
87,53,1.641509
6,6,1.000000
2,2,1.000000
3,3,1.000000
6,5,1.200000
42,27,1.555556
20,14,1.428571
10,8,1.250000
2,2,1.000000
3,3,1.000000
3,3,1.000000
10,8,1.250000
9,6,1.500000
2,2,1.000000
11,8,1.375000
