sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
322,187,1.721925
211,133,1.586466
21,13,1.615385
21,11,1.909091
360,193,1.865285
9,7,1.285714
15,10,1.500000
2,2,1.000000
19,12,1.583333
70,43,1.627907
53,33,1.606061
3,3,1.000000
47,29,1.620690
2,2,1.000000
16,10,1.600000
19,12,1.583333
12,9,1.333333
3,3,1.000000
15,11,1.363636
12,8,1.500000
31,20,1.550000
4,3,1.333333
31,18,1.722222
20,12,1.666667
124,72,1.722222
7,5,1.400000
396,232,1.706897
11,7,1.571429
2,2,1.000000
24,15,1.600000
8,6,1.333333
46,29,1.586207
3,3,1.000000
26,14,1.857143
6,5,1.200000
56,36,1.555556
158,89,1.775281
0,1,0.000000
6,5,1.200000
1280,668,1.916168
7,6,1.166667
0,1,0.000000
210,119,1.764706
8,5,1.600000
0,1,0.000000
7,5,1.400000
8,6,1.333333
7,6,1.166667
8,6,1.333333
0,1,0.000000
62,40,1.550000
2,2,1.000000
79,47,1.680851
6,4,1.500000
2,2,1.000000
20,14,1.428571
2,2,1.000000
2,2,1.000000
16,10,1.600000
51,30,1.700000
2,2,1.000000
99,65,1.523077
7,5,1.400000
2,2,1.000000
21,14,1.500000
5,4,1.250000
59,36,1.638889
5,4,1.250000
27,18,1.500000
11,7,1.571429
3,3,1.000000
355,198,1.792929
16,11,1.454545
10,7,1.428571
80,49,1.632653
11,8,1.375000
5,4,1.250000
9,6,1.500000
24,15,1.600000
0,1,0.000000
3,3,1.000000
644,358,1.798883
77,44,1.750000
6,5,1.200000
22,14,1.571429
24,15,1.600000
6,5,1.200000
15,10,1.500000
140,79,1.772152
17,12,1.416667
8,7,1.142857
8,5,1.600000
16,10,1.600000
6,5,1.200000
7,6,1.166667
113,68,1.661765
8,6,1.333333
44,27,1.629630
0,1,0.000000
0,1,0.000000
2,2,1.000000
13,9,1.444444
208,121,1.719008
2,2,1.000000
3969,1836,2.161765
2,2,1.000000
54,34,1.588235
25,16,1.562500
0,1,0.000000
5,4,1.250000
43,25,1.720000
0,1,0.000000
2,2,1.000000
18,11,1.636364
0,1,0.000000
0,1,0.000000
40,24,1.666667
4,4,1.000000
11,9,1.222222
13,9,1.444444
0,1,0.000000
2,2,1.000000
101,61,1.655738
4,4,1.000000
0,1,0.000000
10,8,1.250000
39,25,1.560000
10,9,1.111111
133,78,1.705128
8,6,1.333333
45,27,1.666667
9,6,1.500000
0,1,0.000000
77,45,1.711111
45,28,1.607143
131,79,1.658228
15,10,1.500000
9,7,1.285714
60,35,1.714286
2,2,1.000000
342,211,1.620853
0,1,0.000000
2,2,1.000000
7,5,1.400000
0,1,0.000000
7,5,1.400000
2,2,1.000000
2,2,1.000000
85,53,1.603774
13,10,1.300000
9,6,1.500000
24,16,1.500000
28,18,1.555556
15,10,1.500000
84,51,1.647059
7,5,1.400000
5,4,1.250000
12,8,1.500000
8,6,1.333333
273,163,1.674847
25,15,1.666667
0,1,0.000000
3,3,1.000000
3,3,1.000000
2,2,1.000000
0,1,0.000000
9,6,1.500000
31,17,1.823529
9,7,1.285714
100,61,1.639344
16,11,1.454545
243,142,1.711268
0,1,0.000000
4,3,1.333333
5,4,1.250000
45,27,1.666667
12,8,1.500000
4,4,1.000000
0,1,0.000000
5,4,1.250000
98,60,1.633333
6,5,1.200000
57,37,1.540541
0,1,0.000000
4,3,1.333333
6,5,1.200000
2,2,1.000000
13,9,1.444444
4,4,1.000000
2,2,1.000000
2,2,1.000000
5,4,1.250000
0,1,0.000000
2,2,1.000000
0,1,0.000000
35,23,1.521739
0,1,0.000000
30,18,1.666667
164,92,1.782609
0,1,0.000000
0,1,0.000000
3,3,1.000000
2,2,1.000000
5,5,1.000000
608,338,1.798817
14,11,1.272727
15,9,1.666667
20,14,1.428571
96,63,1.523810
10,8,1.250000
14,11,1.272727
28,18,1.555556
27,18,1.500000
0,1,0.000000
0,1,0.000000
0,1,0.000000
325,181,1.795580
76,45,1.688889
157,94,1.670213
18,12,1.500000
82,50,1.640000
8,5,1.600000
2,2,1.000000
7,5,1.400000
6,6,1.000000
0,1,0.000000
0,1,0.000000
0,1,0.000000
2,2,1.000000
0,1,0.000000
4,3,1.333333
12,9,1.333333
2,2,1.000000
165,99,1.666667
25,16,1.562500
6,5,1.200000
2,2,1.000000
2,2,1.000000
4,3,1.333333
7,5,1.400000
4,3,1.333333
0,1,0.000000
94,56,1.678571
2,2,1.000000
2,2,1.000000
0,1,0.000000
0,1,0.000000
33,21,1.571429
11,7,1.571429
12,8,1.500000
0,1,0.000000
7,5,1.400000
0,1,0.000000
5,4,1.250000
9,6,1.500000
4,3,1.333333
0,1,0.000000
6,4,1.500000
0,1,0.000000
25,16,1.562500
4,3,1.333333
2,2,1.000000
8,5,1.600000
269,155,1.735484
363,204,1.779412
6,4,1.500000
3,3,1.000000
8,6,1.333333
2,2,1.000000
2,2,1.000000
11,8,1.375000
28,18,1.555556
2,2,1.000000
100,62,1.612903
9,7,1.285714
9,8,1.125000
26,17,1.529412
0,1,0.000000
12,8,1.500000
4,4,1.000000
0,1,0.000000
9,6,1.500000
36,21,1.714286
3,3,1.000000
5,4,1.250000
53,33,1.606061
0,1,0.000000
3,3,1.000000
2,2,1.000000
13,9,1.444444
4,3,1.333333
2,2,1.000000
21,13,1.615385
5,4,1.250000
43,26,1.653846
4,3,1.333333
0,1,0.000000
32,20,1.600000
23,16,1.437500
0,1,0.000000
20,14,1.428571
16,9,1.777778
0,1,0.000000
14,9,1.555556
2,2,1.000000
0,1,0.000000
5,4,1.250000
11,7,1.571429
0,1,0.000000
4,4,1.000000
42,26,1.615385
6,4,1.500000
4,3,1.333333
4,3,1.333333
2,2,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
5,4,1.250000
14,9,1.555556
6,4,1.500000
0,1,0.000000
19,12,1.583333
7,5,1.400000
6,5,1.200000
16,12,1.333333
11,8,1.375000
11,8,1.375000
6,5,1.200000
0,1,0.000000
0,1,0.000000
4,3,1.333333
47,27,1.740741
11,8,1.375000
10,7,1.428571
6,4,1.500000
20,14,1.428571
6,4,1.500000
0,1,0.000000
14,10,1.400000
16,12,1.333333
9,6,1.500000
103,64,1.609375
34,21,1.619048
53,35,1.514286
11,7,1.571429
4,3,1.333333
47,27,1.740741
0,1,0.000000
435,239,1.820084
2,2,1.000000
3,3,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
43,26,1.653846
5,4,1.250000
0,1,0.000000
13,9,1.444444
26,17,1.529412
4,4,1.000000
2,2,1.000000
2,2,1.000000
37,21,1.761905
12,7,1.714286
11,8,1.375000
2,2,1.000000
2,2,1.000000
0,1,0.000000
12,8,1.500000
17,11,1.545455
10,7,1.428571
8,6,1.333333
2,2,1.000000
0,1,0.000000
6,4,1.500000
2,2,1.000000
37,23,1.608696
3,3,1.000000
7,5,1.400000
51,32,1.593750
2,2,1.000000
15,10,1.500000
4,4,1.000000
2,2,1.000000
2,2,1.000000
44,27,1.629630
0,1,0.000000
12,9,1.333333
8,6,1.333333
0,1,0.000000
8,5,1.600000
10,8,1.250000
16,9,1.777778
0,1,0.000000
2,2,1.000000
30,20,1.500000
0,1,0.000000
7,6,1.166667
8,5,1.600000
2,2,1.000000
4,3,1.333333
0,1,0.000000
2,2,1.000000
17,10,1.700000
9,6,1.500000
126,75,1.680000
0,1,0.000000
23,15,1.533333
56,33,1.696970
4,3,1.333333
7,6,1.166667
21,15,1.400000
84,50,1.680000
16,11,1.454545
0,1,0.000000
2,2,1.000000
41,23,1.782609
6,4,1.500000
4,4,1.000000
8,6,1.333333
1635,823,1.986634
11,7,1.571429
4,3,1.333333
9,7,1.285714
0,1,0.000000
6,5,1.200000
0,1,0.000000
157,90,1.744444
26,18,1.444444
56,34,1.647059
5,4,1.250000
2,2,1.000000
2,2,1.000000
13,8,1.625000
0,1,0.000000
2,2,1.000000
8,6,1.333333
13,8,1.625000
6,5,1.200000
8,6,1.333333
6,5,1.200000
7,6,1.166667
2,2,1.000000
3,3,1.000000
6,5,1.200000
67,39,1.717949
0,1,0.000000
4,4,1.000000
25,19,1.315789
2,2,1.000000
3,3,1.000000
4,3,1.333333
33,21,1.571429
5,4,1.250000
0,1,0.000000
2,2,1.000000
243,139,1.748201
0,1,0.000000
14,10,1.400000
3,3,1.000000
0,1,0.000000
0,1,0.000000
19,12,1.583333
0,1,0.000000
2,2,1.000000
7,5,1.400000
0,1,0.000000
2,2,1.000000
172,98,1.755102
18,11,1.636364
5,4,1.250000
32,21,1.523810
17,12,1.416667
4,4,1.000000
4,3,1.333333
29,18,1.611111
7,5,1.400000
6,4,1.500000
9,6,1.500000
36,20,1.800000
0,1,0.000000
5,4,1.250000
81,50,1.620000
0,1,0.000000
14,11,1.272727
12,7,1.714286
6,4,1.500000
9,7,1.285714
9,7,1.285714
802,430,1.865116
6,4,1.500000
0,1,0.000000
11,7,1.571429
8,6,1.333333
0,1,0.000000
155,92,1.684783
13,8,1.625000
3,3,1.000000
14,9,1.555556
4,3,1.333333
7,5,1.400000
42,24,1.750000
62,41,1.512195
9,6,1.500000
25,19,1.315789
82,52,1.576923
2,2,1.000000
2,2,1.000000
131,75,1.746667
2,2,1.000000
24,15,1.600000
26,16,1.625000
54,34,1.588235
0,1,0.000000
6,4,1.500000
31,19,1.631579
4,3,1.333333
5,4,1.250000
9,6,1.500000
4,3,1.333333
10,7,1.428571
5,4,1.250000
2,2,1.000000
14,8,1.750000
0,1,0.000000
70,43,1.627907
9,7,1.285714
25,16,1.562500
3,3,1.000000
0,1,0.000000
65,39,1.666667
24,16,1.500000
20,12,1.666667
93,54,1.722222
8,7,1.142857
36,23,1.565217
45,28,1.607143
0,1,0.000000
0,1,0.000000
6,4,1.500000
4,3,1.333333
0,1,0.000000
2,2,1.000000
6,4,1.500000
25,15,1.666667
2,2,1.000000
27,17,1.588235
6,4,1.500000
2,2,1.000000
5,4,1.250000
8,5,1.600000
0,1,0.000000
6,4,1.500000
0,1,0.000000
0,1,0.000000
2,2,1.000000
24,16,1.500000
6,5,1.200000
6,4,1.500000
9,7,1.285714
5,4,1.250000
4,4,1.000000
101,59,1.711864
2,2,1.000000
0,1,0.000000
13,9,1.444444
18,11,1.636364
0,1,0.000000
37,23,1.608696
5,4,1.250000
19,14,1.357143
32,19,1.684211
59,34,1.735294
6,4,1.500000
146,86,1.697674
56,34,1.647059
16,10,1.600000
99,61,1.622951
44,24,1.833333
19,12,1.583333
50,29,1.724138
88,56,1.571429
2,2,1.000000
0,1,0.000000
22,13,1.692308
6,5,1.200000
4,3,1.333333
5,4,1.250000
3,3,1.000000
6,5,1.200000
25,18,1.388889
16,11,1.454545
11,7,1.571429
10,7,1.428571
15,10,1.500000
43,25,1.720000
0,1,0.000000
3,3,1.000000
6,5,1.200000
2,2,1.000000
7,6,1.166667
6,5,1.200000
0,1,0.000000
2,2,1.000000
0,1,0.000000
5,4,1.250000
0,1,0.000000
0,1,0.000000
2,2,1.000000
21,14,1.500000
9,6,1.500000
110,66,1.666667
43,25,1.720000
0,1,0.000000
8,6,1.333333
15,9,1.666667
3,3,1.000000
5,4,1.250000
4,3,1.333333
3,3,1.000000
13,8,1.625000
2,2,1.000000
2,2,1.000000
17,11,1.545455
4,3,1.333333
31,19,1.631579
0,1,0.000000
9,6,1.500000
5,4,1.250000
2,2,1.000000
0,1,0.000000
32,21,1.523810
7,5,1.400000
17,12,1.416667
4,3,1.333333
554,303,1.828383
9,6,1.500000
34,21,1.619048
10,7,1.428571
52,31,1.677419
13,9,1.444444
2,2,1.000000
4,3,1.333333
5,4,1.250000
6,4,1.500000
49,28,1.750000
0,1,0.000000
21,14,1.500000
3,3,1.000000
2,2,1.000000
7,5,1.400000
2,2,1.000000
32,18,1.777778
18,11,1.636364
9,7,1.285714
2,2,1.000000
0,1,0.000000
13,8,1.625000
4,3,1.333333
0,1,0.000000
4,3,1.333333
6,4,1.500000
2,2,1.000000
2,2,1.000000
2,2,1.000000
35,20,1.750000
9,6,1.500000
4,3,1.333333
2,2,1.000000
12,8,1.500000
2,2,1.000000
6,4,1.500000
8,6,1.333333
3,3,1.000000
27,17,1.588235
28,17,1.647059
4,3,1.333333
0,1,0.000000
8,6,1.333333
23,15,1.533333
6,4,1.500000
0,1,0.000000
0,1,0.000000
16,11,1.454545
11,7,1.571429
24,15,1.600000
2,2,1.000000
5,4,1.250000
83,53,1.566038
6,5,1.200000
21,14,1.500000
0,1,0.000000
15,11,1.363636
5,4,1.250000
4,3,1.333333
0,1,0.000000
62,38,1.631579
12,8,1.500000
8,5,1.600000
2,2,1.000000
2,2,1.000000
12,8,1.500000
6,4,1.500000
13,8,1.625000
6,4,1.500000
2,2,1.000000
7,5,1.400000
18,12,1.500000
229,131,1.748092
0,1,0.000000
13,10,1.300000
0,1,0.000000
3,3,1.000000
77,47,1.638298
268,149,1.798658
2,2,1.000000
0,1,0.000000
18,12,1.500000
37,24,1.541667
4,3,1.333333
17,11,1.545455
5,4,1.250000
4,4,1.000000
0,1,0.000000
0,1,0.000000
5,4,1.250000
7,6,1.166667
14,8,1.750000
6,4,1.500000
8,5,1.600000
2,2,1.000000
53,31,1.709677
154,82,1.878049
2,2,1.000000
6,5,1.200000
0,1,0.000000
12,9,1.333333
0,1,0.000000
0,1,0.000000
6,4,1.500000
2,2,1.000000
0,1,0.000000
2,2,1.000000
44,27,1.629630
7,5,1.400000
4,3,1.333333
0,1,0.000000
3,3,1.000000
22,12,1.833333
6,5,1.200000
2,2,1.000000
11,7,1.571429
10,6,1.666667
3,3,1.000000
9,7,1.285714
28,19,1.473684
32,20,1.600000
3,3,1.000000
14,9,1.555556
0,1,0.000000
3,3,1.000000
0,1,0.000000
148,87,1.701149
23,15,1.533333
39,26,1.500000
3,3,1.000000
9,6,1.500000
2,2,1.000000
3,3,1.000000
2,2,1.000000
6,5,1.200000
0,1,0.000000
5,4,1.250000
28,19,1.473684
0,1,0.000000
4,3,1.333333
45,27,1.666667
2231,1091,2.044913
10,6,1.666667
7,5,1.400000
4,3,1.333333
5,4,1.250000
3,3,1.000000
0,1,0.000000
8,6,1.333333
8,5,1.600000
10,8,1.250000
3,3,1.000000
2,2,1.000000
0,1,0.000000
15,10,1.500000
0,1,0.000000
15,10,1.500000
29,19,1.526316
2,2,1.000000
24,16,1.500000
9,6,1.500000
33,20,1.650000
28,17,1.647059
19,12,1.583333
366,210,1.742857
4,3,1.333333
2,2,1.000000
23,14,1.642857
11,8,1.375000
21,13,1.615385
5,4,1.250000
6,4,1.500000
4,3,1.333333
0,1,0.000000
2,2,1.000000
4,4,1.000000
5,4,1.250000
21,15,1.400000
7,5,1.400000
9,6,1.500000
13,9,1.444444
9,6,1.500000
4,4,1.000000
6,4,1.500000
0,1,0.000000
0,1,0.000000
0,1,0.000000
18,12,1.500000
81,52,1.557692
2,2,1.000000
38,22,1.727273
3,3,1.000000
5,5,1.000000
24,15,1.600000
12,8,1.500000
17,11,1.545455
9,6,1.500000
0,1,0.000000
0,1,0.000000
10,6,1.666667
2,2,1.000000
22,18,1.222222
0,1,0.000000
4,3,1.333333
9,7,1.285714
