sum_hyperedge_size,num_nodes,egonet overlapness
327,168,1.946429
242,126,1.920635
84,52,1.615385
188,102,1.843137
28,16,1.750000
1095,477,2.295597
199,102,1.950980
14,9,1.555556
25,17,1.470588
18,11,1.636364
29,19,1.526316
14913,4073,3.661429
11,7,1.571429
4906,1730,2.835838
21478,5294,4.057046
39,23,1.695652
5992,2014,2.975174
74,42,1.761905
824,355,2.321127
17,10,1.700000
127,68,1.867647
13,8,1.625000
91,43,2.116279
28,17,1.647059
343,180,1.905556
14,9,1.555556
2662,1023,2.602151
125,69,1.811594
195,109,1.788991
98,59,1.661017
29,18,1.611111
1048,435,2.409195
425,205,2.073171
110,59,1.864407
3898,1411,2.762580
1733,715,2.423776
13,10,1.300000
14,9,1.555556
160,77,2.077922
273,144,1.895833
19,12,1.583333
23,15,1.533333
68,39,1.743590
1836,721,2.546463
213,108,1.972222
89,49,1.816327
29,17,1.705882
9507,2937,3.236977
49,30,1.633333
118,55,2.145455
2784,1064,2.616541
15,11,1.363636
27,18,1.500000
23,16,1.437500
136,73,1.863014
271,134,2.022388
92,52,1.769231
1560,639,2.441315
849,377,2.251989
972,396,2.454545
10497,3112,3.373072
31,16,1.937500
373,183,2.038251
640,279,2.293907
76,41,1.853659
57,35,1.628571
48,30,1.600000
35,21,1.666667
1157,506,2.286561
57,31,1.838710
17398,4519,3.849967
19,12,1.583333
106,55,1.927273
22,13,1.692308
188,94,2.000000
40,23,1.739130
1838,744,2.470430
755,363,2.079890
654,312,2.096154
18,12,1.500000
6959,2272,3.062940
2775,1029,2.696793
330,170,1.941176
2756,1036,2.660232
35,20,1.750000
32,18,1.777778
19,11,1.727273
33,22,1.500000
20,13,1.538462
86,44,1.954545
30,18,1.666667
26,16,1.625000
32,19,1.684211
476,226,2.106195
459,230,1.995652
159,94,1.691489
38,24,1.583333
450,197,2.284264
2617,1000,2.617000
63,35,1.800000
70,39,1.794872
20,11,1.818182
14,9,1.555556
466,226,2.061947
10,7,1.428571
5982,2020,2.961386
18,9,2.000000
232,115,2.017391
21,13,1.615385
42,28,1.500000
3860,1378,2.801161
340,167,2.035928
1585,655,2.419847
56,31,1.806452
32,20,1.600000
165,90,1.833333
15,11,1.363636
68,39,1.743590
21,13,1.615385
27,17,1.588235
14471,3990,3.626817
56,33,1.696970
13,8,1.625000
71,35,2.028571
4971,1713,2.901926
79,45,1.755556
26,16,1.625000
794,354,2.242938
39,25,1.560000
371,169,2.195266
4397,1533,2.868232
544,260,2.092308
18,12,1.500000
78,45,1.733333
98,54,1.814815
