sum_hyperedge_size,num_nodes,egonet overlapness
69,43,1.604651
561,298,1.882550
3,3,1.000000
101,58,1.741379
23,13,1.769231
24,17,1.411765
119,58,2.051724
4,3,1.333333
12,8,1.500000
2,2,1.000000
60,34,1.764706
5,4,1.250000
4,3,1.333333
7,5,1.400000
5,4,1.250000
17,11,1.545455
2561,992,2.581653
29,18,1.611111
323,165,1.957576
3104,859,3.613504
3518,968,3.634298
2,2,1.000000
95,57,1.666667
6,4,1.500000
19,13,1.461538
11,7,1.571429
978,442,2.212670
15,11,1.363636
11,9,1.222222
15,11,1.363636
21,15,1.400000
24,18,1.333333
9,8,1.125000
15,12,1.250000
2516,1042,2.414587
678,278,2.438849
6373,1555,4.098392
23,15,1.533333
59,33,1.787879
102,55,1.854545
43,25,1.720000
59,37,1.594595
1426,500,2.852000
4,3,1.333333
6,4,1.500000
2,2,1.000000
37,22,1.681818
13,9,1.444444
3892,1409,2.762243
23,13,1.769231
37,20,1.850000
1000,422,2.369668
3,3,1.000000
81,40,2.025000
11,9,1.222222
6,5,1.200000
259,141,1.836879
9,6,1.500000
34,21,1.619048
64,37,1.729730
121,61,1.983607
30,17,1.764706
2,2,1.000000
4,3,1.333333
3983,1526,2.610092
17,10,1.700000
34,21,1.619048
753,346,2.176301
4,3,1.333333
3,3,1.000000
3388,991,3.418769
33,19,1.736842
4,3,1.333333
67,37,1.810811
60,33,1.818182
35,21,1.666667
6,4,1.500000
63,37,1.702703
150,81,1.851852
55,34,1.617647
3,3,1.000000
3,3,1.000000
5,4,1.250000
21,15,1.400000
4,3,1.333333
2719,1033,2.632139
1215,514,2.363813
167,91,1.835165
953,351,2.715100
1108,367,3.019074
11,7,1.571429
14,9,1.555556
10,7,1.428571
403,200,2.015000
91,47,1.936170
7,5,1.400000
43,27,1.592593
11,9,1.222222
7,5,1.400000
64,34,1.882353
154,78,1.974359
72,44,1.636364
6,4,1.500000
201,111,1.810811
89,52,1.711538
4,3,1.333333
3,3,1.000000
16,10,1.600000
65,38,1.710526
218,96,2.270833
5,4,1.250000
4,3,1.333333
4,3,1.333333
2,2,1.000000
4,3,1.333333
2,2,1.000000
10,7,1.428571
556,209,2.660287
50,31,1.612903
27,18,1.500000
12,8,1.500000
53,31,1.709677
6,4,1.500000
50,31,1.612903
2,2,1.000000
123,61,2.016393
108,64,1.687500
27,18,1.500000
3,3,1.000000
193,86,2.244186
1754,621,2.824477
85,47,1.808511
28,17,1.647059
148,83,1.783133
145,85,1.705882
64,39,1.641026
4,3,1.333333
12,8,1.500000
204,107,1.906542
29,18,1.611111
146,65,2.246154
195,101,1.930693
17,11,1.545455
44,24,1.833333
9,6,1.500000
5653,1913,2.955044
11,7,1.571429
163,77,2.116883
16,11,1.454545
5,5,1.000000
11,8,1.375000
325,174,1.867816
223,128,1.742188
3,3,1.000000
43,25,1.720000
559,243,2.300412
63,35,1.800000
466,234,1.991453
2530,734,3.446866
3,3,1.000000
2,2,1.000000
59,36,1.638889
61,38,1.605263
6,4,1.500000
59,33,1.787879
132,67,1.970149
12,9,1.333333
189,98,1.928571
99,51,1.941176
10,7,1.428571
62,40,1.550000
2,2,1.000000
81,45,1.800000
7,5,1.400000
6,4,1.500000
18,12,1.500000
1321,561,2.354724
2,2,1.000000
7,5,1.400000
41,26,1.576923
2782,813,3.421894
165,77,2.142857
2553,785,3.252229
1221,388,3.146907
55,32,1.718750
13,9,1.444444
2,2,1.000000
5,4,1.250000
270,106,2.547170
92,47,1.957447
16,10,1.600000
5,4,1.250000
6948,2311,3.006491
8684,2705,3.210351
18,10,1.800000
270,131,2.061069
1030,429,2.400932
1023,499,2.050100
4,3,1.333333
2,2,1.000000
93,53,1.754717
77,49,1.571429
4,3,1.333333
3,3,1.000000
26,15,1.733333
158,77,2.051948
7,5,1.400000
2,2,1.000000
36,22,1.636364
2,2,1.000000
141,78,1.807692
77,43,1.790698
8,5,1.600000
357,187,1.909091
2,2,1.000000
5,4,1.250000
7,5,1.400000
7,5,1.400000
5,4,1.250000
7,5,1.400000
4,3,1.333333
121,68,1.779412
15,10,1.500000
2,2,1.000000
366,173,2.115607
19,12,1.583333
12,8,1.500000
500,238,2.100840
1403,618,2.270227
58,35,1.657143
9,6,1.500000
17,12,1.416667
38,23,1.652174
140,73,1.917808
142,75,1.893333
8,6,1.333333
11,7,1.571429
302,140,2.157143
59,35,1.685714
4,3,1.333333
2,2,1.000000
279,149,1.872483
92,59,1.559322
6,5,1.200000
1735,710,2.443662
100,56,1.785714
4,4,1.000000
30,21,1.428571
430,195,2.205128
35,20,1.750000
175,98,1.785714
95,55,1.727273
54,31,1.741935
4,3,1.333333
1837,760,2.417105
2,2,1.000000
40,24,1.666667
691,313,2.207668
15,10,1.500000
15,11,1.363636
234,116,2.017241
46,29,1.586207
245,111,2.207207
139,66,2.106061
266,137,1.941606
9,6,1.500000
33,19,1.736842
482,230,2.095652
8,5,1.600000
2,2,1.000000
8,5,1.600000
8,6,1.333333
4,3,1.333333
14,10,1.400000
13,8,1.625000
14,9,1.555556
22,14,1.571429
133,78,1.705128
15,11,1.363636
26,15,1.733333
11,7,1.571429
16,10,1.600000
4,3,1.333333
1002,422,2.374408
12,7,1.714286
4,3,1.333333
86,49,1.755102
8,5,1.600000
64,38,1.684211
6,4,1.500000
4,3,1.333333
27,13,2.076923
6,5,1.200000
2,2,1.000000
2,2,1.000000
178,99,1.797980
3,3,1.000000
444,217,2.046083
658,304,2.164474
437,192,2.276042
16,11,1.454545
1647,660,2.495455
10,7,1.428571
15,10,1.500000
5938,2015,2.946898
15,8,1.875000
15,9,1.666667
10,7,1.428571
4,3,1.333333
10,7,1.428571
17,12,1.416667
6,4,1.500000
11,7,1.571429
18,11,1.636364
2090,851,2.455934
746,324,2.302469
16,10,1.600000
9,6,1.500000
2,2,1.000000
471,205,2.297561
48,30,1.600000
158,91,1.736264
2,2,1.000000
26,15,1.733333
5,4,1.250000
264,110,2.400000
26,16,1.625000
244,117,2.085470
2,2,1.000000
4,3,1.333333
2256,671,3.362146
256,118,2.169492
6,4,1.500000
4,3,1.333333
5,4,1.250000
2,2,1.000000
2,2,1.000000
23,13,1.769231
218,111,1.963964
2,2,1.000000
8,6,1.333333
187,104,1.798077
6,5,1.200000
33,21,1.571429
11,7,1.571429
2,2,1.000000
104,57,1.824561
4,3,1.333333
7,5,1.400000
1608,661,2.432678
12,8,1.500000
6,5,1.200000
2,2,1.000000
2,2,1.000000
6,4,1.500000
42,27,1.555556
127,68,1.867647
17,11,1.545455
13,9,1.444444
21,15,1.400000
56,35,1.600000
4,3,1.333333
15,11,1.363636
32,19,1.684211
67,41,1.634146
4,3,1.333333
72,38,1.894737
16,11,1.454545
4,3,1.333333
148,78,1.897436
9,6,1.500000
19,12,1.583333
2,2,1.000000
42,25,1.680000
13,8,1.625000
44,27,1.629630
893,431,2.071926
3,3,1.000000
5,4,1.250000
2161,911,2.372119
387,148,2.614865
23,15,1.533333
5,4,1.250000
67,37,1.810811
12,8,1.500000
11,8,1.375000
14,9,1.555556
5,4,1.250000
22,15,1.466667
15,11,1.363636
25,16,1.562500
8,6,1.333333
74,43,1.720930
182,91,2.000000
4,3,1.333333
60,31,1.935484
76,39,1.948718
58,28,2.071429
2,2,1.000000
12,9,1.333333
6,6,1.000000
181,90,2.011111
25,16,1.562500
39,27,1.444444
17,12,1.416667
897,403,2.225806
7,5,1.400000
7,5,1.400000
18,11,1.636364
33,18,1.833333
14,9,1.555556
255,112,2.276786
66,35,1.885714
42,28,1.500000
55,37,1.486486
8,6,1.333333
11,8,1.375000
23,14,1.642857
6,4,1.500000
70,41,1.707317
9,7,1.285714
286,126,2.269841
295,130,2.269231
7,5,1.400000
2,2,1.000000
17,11,1.545455
35,19,1.842105
13,8,1.625000
25,17,1.470588
1097,461,2.379610
90,50,1.800000
294,147,2.000000
2387,932,2.561159
13,9,1.444444
22,18,1.222222
2,2,1.000000
18,10,1.800000
1004,424,2.367925
26,17,1.529412
15,11,1.363636
15,11,1.363636
849,384,2.210938
308,132,2.333333
18,11,1.636364
105,50,2.100000
425,205,2.073171
10,8,1.250000
43,29,1.482759
586,282,2.078014
15,11,1.363636
54,32,1.687500
500,232,2.155172
16,11,1.454545
239,123,1.943089
115,69,1.666667
13,8,1.625000
24,14,1.714286
16,10,1.600000
10,7,1.428571
23,17,1.352941
18,10,1.800000
2,2,1.000000
215,114,1.885965
50,28,1.785714
22,15,1.466667
12,8,1.500000
9,7,1.285714
17,10,1.700000
14,9,1.555556
72,40,1.800000
78,43,1.813953
67,41,1.634146
7,4,1.750000
949,354,2.680791
566,211,2.682464
4,3,1.333333
10,7,1.428571
125,69,1.811594
14,9,1.555556
51,30,1.700000
12,8,1.500000
107,56,1.910714
6,5,1.200000
2,2,1.000000
14,7,2.000000
2,2,1.000000
8,6,1.333333
4,3,1.333333
21,13,1.615385
39,24,1.625000
22,14,1.571429
57,36,1.583333
9,6,1.500000
6,4,1.500000
8,6,1.333333
21,12,1.750000
249,132,1.886364
3952,1057,3.738884
46,21,2.190476
10,7,1.428571
4,3,1.333333
429,207,2.072464
5,4,1.250000
9,7,1.285714
53,30,1.766667
4,3,1.333333
2,2,1.000000
162,71,2.281690
18,11,1.636364
12,9,1.333333
57,33,1.727273
364,179,2.033520
16,10,1.600000
22,15,1.466667
150,82,1.829268
69,44,1.568182
8,5,1.600000
206,120,1.716667
5,4,1.250000
521,209,2.492823
549,217,2.529954
8,6,1.333333
11,7,1.571429
4,3,1.333333
36,23,1.565217
39,23,1.695652
11,8,1.375000
317,153,2.071895
14,10,1.400000
9,6,1.500000
205,107,1.915888
11,7,1.571429
8,6,1.333333
4,3,1.333333
17,12,1.416667
5,4,1.250000
2,2,1.000000
9,6,1.500000
216,94,2.297872
1312,553,2.372514
3,3,1.000000
20,11,1.818182
429,222,1.932432
587,281,2.088968
7,5,1.400000
250,130,1.923077
10,7,1.428571
19,13,1.461538
11,7,1.571429
539,254,2.122047
2,2,1.000000
4,3,1.333333
53,32,1.656250
577,277,2.083032
3,3,1.000000
45,28,1.607143
3,3,1.000000
18,12,1.500000
18,13,1.384615
16,11,1.454545
114,68,1.676471
2,2,1.000000
8,6,1.333333
10,7,1.428571
50,25,2.000000
45,25,1.800000
5,4,1.250000
18,12,1.500000
29,19,1.526316
5,4,1.250000
13,9,1.444444
2,2,1.000000
7,5,1.400000
17,11,1.545455
211,95,2.221053
6,4,1.500000
14,11,1.272727
2,2,1.000000
2,2,1.000000
162,85,1.905882
9,6,1.500000
3144,1149,2.736292
46,28,1.642857
2,2,1.000000
64,34,1.882353
10,8,1.250000
28,18,1.555556
2,2,1.000000
341,174,1.959770
125,72,1.736111
34,20,1.700000
8,6,1.333333
2,2,1.000000
2,2,1.000000
10,7,1.428571
117,66,1.772727
15,10,1.500000
26,18,1.444444
6,5,1.200000
18,11,1.636364
16,11,1.454545
8,6,1.333333
2,2,1.000000
7,5,1.400000
13,7,1.857143
114,59,1.932203
18,11,1.636364
14,9,1.555556
25,16,1.562500
2,2,1.000000
38,23,1.652174
68,37,1.837838
4,3,1.333333
4,3,1.333333
2,2,1.000000
623,312,1.996795
38,18,2.111111
328,145,2.262069
6,5,1.200000
22,13,1.692308
315,149,2.114094
8,6,1.333333
9,6,1.500000
4,3,1.333333
306,164,1.865854
4,3,1.333333
23,14,1.642857
4,3,1.333333
91,50,1.820000
63,37,1.702703
43,24,1.791667
4,3,1.333333
2,2,1.000000
13,8,1.625000
